反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
590,3.694452432809417,1.0805105271959046,880418.0,28962634570.612846,-3057374679.31199,-28800810081.335564
591,3.701135383369285,1.080647614697341,880342.5,28993662241.0535,-3102124944.2927494,-28827231413.687443
592,3.7078481743442864,1.0807847788717424,881102.0,28941526636.28035,-3112910843.351368,-28773629422.09186
593,3.7146151228409985,1.0809219453026102,880593.5,28931960871.93445,-3153732359.7966747,-28759560707.665848
594,3.7214331017641538,1.0810591798664162,880649.0,28939653443.458275,-3181602173.8731546,-28764230374.454174
595,3.728280329241945,1.0811964081532253,880182.5,28958464067.68498,-3192663565.2840986,-28781930798.997993
596,3.735155778796822,1.081333755458675,881327.5,28971872388.988235,-3199634070.833297,-28794647619.593845
597,3.742076375639603,1.0814715288387673,882442.5,29031354050.42626,-3211385310.0551863,-28853189119.94934
598,3.74902253938752,1.0816095007764444,882001.5,29066187695.030285,-3231538557.2030144,-28885990128.0195
599,3.755897222560547,1.0817476240839323,882650.5,29098669057.084465,-3162710166.3618145,-28926282258.481064
600,3.762797475336565,1.0818856784094053,883396.5,29057208814.066265,-3169818091.870886,-28883795410.72638
601,3.7697583213300923,1.082023422753646,882833.5,28964977331.478065,-3207056682.680197,-28786884153.1541
602,3.7768003228223868,1.0821612015275135,883490.0,28936473190.945637,-3241281532.327688,-28754366185.998726
603,3.783859819731634,1.0822991106886772,882800.0,28968991808.124397,-3255895886.3906517,-28785441256.929913
604,3.7909416934470284,1.0824367389030531,882234.5,28905470960.513268,-3257976488.5512753,-28721278534.374527
605,3.798015883050132,1.082574293479119,881398.0,28879642102.52895,-3242830734.550357,-28696999438.917274
606,3.8050801856564935,1.0827117069255274,881304.5,28856129743.079765,-3224473777.8419905,-28675407453.17252
607,3.8120696923169763,1.082849017566348,880750.5,28853731776.458385,-3161026561.103508,-28680058376.994328
608,3.819052693794965,1.0829862535926542,881512.5,28835503706.036835,-3146546697.2315245,-28663313099.90186
609,3.8260341154963986,1.083123416761211,881660.0,28826731361.42021,-3150957887.4080496,-28654003304.516956
610,3.8329762374581104,1.0832600605875577,881160.0,28714999355.850697,-3145434619.8887386,-28542204348.2719
611,3.839892204422323,1.0833966719082342,881100.0,28711034810.7317,-3122115828.640567,-28540776314.87272
612,3.846918878299453,1.0835333200762116,882301.0,28680525192.078182,-3192741744.866413,-28502261760.148415
613,3.853832184758363,1.0836701038518342,881512.0,28734249022.491753,-3077133182.5683165,-28569009752.935177
614,3.86077659923486,1.083806930555782,880962.0,28732589035.613285,-3084013550.112977,-28566598206.85978
615,3.867842983470112,1.0839438018825942,881534.5,28739279484.665512,-3192603424.0714817,-28561398226.878235
616,3.874907442987999,1.0840805686191217,880429.0,28706415911.59005,-3186496274.1931286,-28529012530.821033
617,3.8818908719912106,1.0842169515101738,880216.0,28645201797.486706,-3141750654.746769,-28472389939.06437
618,3.888909454166838,1.0843535629869372,881112.5,28683576460.642033,-3152435721.7427874,-28509817740.45176
619,3.8959005788041385,1.0844894735737594,880099.5,28539614263.32088,-3135377366.8808146,-28366864315.013744
620,3.9029390204805696,1.0846252518598078,880413.0,28489310660.02543,-3177489529.0143557,-28311559161.876667
621,3.9099813541781407,1.084761313511895,881457.5,28547467581.63531,-3183944256.581069,-28369356783.253006
622,3.916968609336277,1.0848972693558072,880775.5,28554605139.138977,-3144670431.4312954,-28380918282.004616
623,3.9239494150209686,1.08503317608983,881209.0,28552996952.911533,-3147447873.723651,-28378992351.30042
624,3.930866484562362,1.0851685706232181,881832.0,28458482411.899235,-3113049532.541871,-28287703049.1399
625,3.937785795697819,1.0853040536749032,882259.5,28459630552.087948,-3099148206.3137817,-28290384436.35293
626,3.9447552907150536,1.0854394703514705,881621.0,28450969953.3064,-3138893987.823824,-28277288339.180386
627,3.951704603004544,1.0855747563183828,880870.0,28429905374.75718,-3140586112.3540077,-28255906258.489326
628,3.9586739319033475,1.0857101341304702,881451.5,28454448604.177975,-3159331185.050061,-28278512546.29522
629,3.96565093150655,1.0858455447239486,881612.5,28462364730.31781,-3154452195.4284697,-28287022419.97902
630,3.9726280138148304,1.0859807833714148,880978.0,28432629749.85631,-3161986325.22369,-28256260845.545586
631,3.979590947034477,1.086115911697969,881606.5,28438737576.44635,-3152001874.0748634,-28263522058.084164
632,3.986567821305227,1.086251249307352,881569.5,28495497219.121437,-3166626400.190646,-28319001377.283295
633,3.9935724677856665,1.0863865617625283,881526.0,28505786643.923214,-3186988890.9649935,-28327071398.182636
634,4.000609159403757,1.0865217926383932,880949.0,28500931270.744953,-3213746534.2634497,-28319161649.195007
635,4.00761614143089,1.0866569085175146,880765.0,28487337016.0684,-3202026425.0465755,-28306808316.02822
636,4.014521168151444,1.0867920257851857,880405.5,28509855482.310806,-3120959401.5328207,-28338515699.242813
637,4.021423796284788,1.0869271756598984,879812.0,28503811026.583485,-3118402483.3427906,-28332716230.376923
638,4.028299912784618,1.0870622898807136,879854.0,28498016216.027412,-3093647426.9325886,-28329600665.14872
639,4.035263397340317,1.0871973913543589,880501.0,28498541839.838303,-3156508252.1675377,-28323194428.789497
640,4.0422637946273134,1.0873331022584558,880209.0,28619651879.91391,-3174414474.6924515,-28443058317.80969
641,4.049315004489607,1.0874687808991563,880072.0,28619414112.44728,-3219303638.291768,-28437773264.16799
642,4.0563553848426555,1.0876046151268552,880069.0,28664685765.110424,-3204530130.78314,-28484999502.42982
643,4.063306984642478,1.0877402639836438,879604.5,28639010722.14765,-3130334275.5040197,-28467418963.911934
644,4.07034943845793,1.087875921982725,878845.0,28633319501.145493,-3187492398.1161213,-28455348844.578075
645,4.077453292592489,1.0880117142517998,878373.0,28641063327.286858,-3232541491.121565,-28458060088.942
646,4.084610985966357,1.0881472579581346,877996.0,28589751468.90491,-3296417952.772399,-28399076001.41931
647,4.091819283274005,1.0882829937353236,877593.0,28624592825.378403,-3325247310.5865984,-28430793952.01867
648,4.099051934987898,1.0884185353681928,877339.0,28612798668.71161,-3336529605.2594547,-28417596975.28016
649,4.10627926366436,1.088554791221366,877678.5,28766292776.134434,-3318574725.187806,-28574230731.126057
650,4.113507822897,1.0886910404242374,877632.5,28782136256.091656,-3327428135.5288105,-28589151604.53554
651,4.12069939115337,1.0888272906140366,876806.5,28793092568.12973,-3289601540.739443,-28604557352.63268
652,4.127882954588078,1.08896341655259,876975.5,28772748410.987232,-3286775124.636322,-28584404146.35296
