反復回数,∂J/∂θ,∂J/∂s,目的関数J
69,-631759097.8366818,-1782448795.799171,807010.5
70,-611281492.849793,-1785730927.7426376,807198.0
71,-603487088.7190547,-1793089046.9408405,801053.5
72,-617676779.8623807,-1793655145.3782198,797088.5
73,-611410576.1512766,-1789389450.0297809,794236.5
74,-609349193.8953459,-1784591335.8941705,796168.5
75,-616098304.1511037,-1773615172.5957992,794882.5
76,-603426792.8454995,-1787084834.901678,798832.5
77,-620081815.2157315,-1780493839.656505,799189.5
78,-621208346.2002828,-1785491090.4131262,798384.0
79,-629010726.1419054,-1788380924.8560543,798461.0
80,-615076206.3135262,-1792527320.444798,795218.0
81,-622972152.595383,-1787653266.881835,794265.5
82,-626263181.8085757,-1782628392.042896,797795.0
83,-621331590.4430618,-1776934484.6233158,795781.0
84,-622228950.1377248,-1786228532.9624414,793326.0
85,-585833055.7784526,-1803487494.840557,792388.5
86,-599021617.8768286,-1798773869.7961514,791529.5
87,-577095350.8617265,-1782220030.8065548,788952.0
88,-551700766.1735308,-1787390639.1643367,791768.5
89,-535292400.52290523,-1773962462.854454,790152.0
90,-531500451.70099425,-1747284953.8465524,787648.5
91,-529213093.331454,-1728334550.2109008,783879.0
92,-531279893.77924174,-1725746496.5478296,782521.5
93,-526136069.6356215,-1732605655.609324,778383.0
94,-529712946.2292247,-1727701223.1870177,774558.5
95,-532279496.18867403,-1704055792.677177,771386.5
96,-543356328.9633727,-1696884260.6227047,770364.5
97,-525307227.3231567,-1694646858.1176991,765730.0
98,-524737542.5791148,-1677725927.025023,765938.5
99,-497402710.44227326,-1679098446.3834116,763384.0
100,-494758936.3075774,-1679271859.5382643,763467.5
101,-485273497.5169205,-1663641809.621094,760205.5
102,-486533478.9808166,-1652486666.417385,759271.0
103,-464534067.92561495,-1648549307.1919255,758419.5
104,-445557629.5561209,-1638674375.6365237,757175.0
105,-453121588.1816914,-1634858949.0428202,754750.0
106,-443834968.26525146,-1632679800.5789587,754490.0
107,-434400737.2494714,-1618967051.3186998,750056.0
108,-434825024.2430525,-1602624374.8993735,749599.5
109,-430090794.14463687,-1605352036.9371555,747731.5
110,-417619612.34649354,-1579615744.7140028,749600.0
111,-390644992.919216,-1565800824.2029572,748304.5
112,-415348328.5877181,-1567276064.037428,747876.0
113,-389465524.2907923,-1547300023.113443,747861.5
114,-368204125.31516486,-1555611543.2804995,747012.0
115,-364629121.3752391,-1527062396.91032,746573.5
116,-390494441.9173589,-1493697013.2634299,747215.5
117,-377121684.39723605,-1493626367.881071,745957.0
118,-348664799.52718234,-1451560562.3213804,745139.5
119,-341354282.3353267,-1427210084.6325912,744699.5
120,-298186605.84979725,-1435767287.0314577,743943.5
121,-297904112.8438,-1420511213.8278134,743380.5
122,-314330511.9878092,-1403329513.0385716,743060.0
123,-296672776.47992426,-1371023711.572688,743392.5
124,-316735302.67879874,-1341280490.1664498,742962.0
125,-313211987.9357984,-1340691805.0942132,743256.5
126,-298731867.910842,-1332355846.640961,744752.0
127,-305883317.256715,-1293811022.6999748,744156.0
128,-285065921.06874704,-1250248658.2267337,743063.0
129,-289965100.7871455,-1239466644.6007314,743195.5
130,-302464172.70388067,-1194712758.3924346,744003.0
131,-272137958.8679256,-1217374328.5839455,745415.0
132,-268460211.94044614,-1207478647.023922,747066.5
133,-263262623.50862807,-1190864457.680488,746830.5
134,-260682257.26165056,-1170299813.454571,747374.0
135,-266875849.86367518,-1171629054.2032964,747326.0
136,-260507446.1874546,-1161793504.345692,746869.5
137,-256836963.56946373,-1150380623.5871394,747588.5
138,-265273796.95447543,-1133934526.7934797,748894.0
139,-245388134.84323877,-1141845604.7517624,747607.0
140,-249586532.927643,-1139303292.4596674,751012.5
141,-275685787.1033466,-1125924283.9713542,749465.5
142,-274964962.3355312,-1117761740.468557,749760.5
143,-263915135.74670988,-1113126252.9231348,750641.0
144,-244176135.19965863,-1107152813.7966995,750648.0
145,-233654059.5293826,-1114109296.9335248,749097.5
146,-230493977.02082646,-1087360067.3211539,750125.5
