反復回数,∂J/∂θ,∂J/∂s,目的関数J
145,-55680413878.681885,-479250891742.9253,884479.0
146,-55677386584.81311,-479251313035.15564,884479.0
147,-55674359290.945145,-479251734290.6224,884479.0
148,-55671331997.077934,-479252155509.3274,884479.0
149,-55668304703.21151,-479252576691.2727,884479.0
150,-55665277409.34592,-479252997836.4604,884479.0
151,-55662250115.481094,-479253418944.89264,884479.0
152,-55659222821.61703,-479253840016.57117,884479.0
153,-55656195527.75379,-479254261051.4983,884479.0
154,-55653168233.89133,-479254682049.676,884479.0
155,-55650140940.02968,-479255103011.1062,884479.0
156,-55647113646.168755,-479255523935.79114,884479.0
157,-55644086352.30869,-479255944823.7327,884479.0
158,-55641059058.44937,-479256365674.933,884479.0
159,-55638031764.59086,-479256786489.39404,884479.0
160,-55635004470.73313,-479257207267.1179,884479.0
161,-55631977176.87618,-479257628008.10657,884479.0
162,-55628949883.020035,-479258048712.3622,884479.0
163,-55625922589.16464,-479258469379.8867,884479.0
164,-55622895295.31006,-479258890010.6821,884479.0
165,-55619868001.45624,-479259310604.7505,884479.0
166,-55616840707.603226,-479259731162.09393,884479.0
167,-55613813413.751045,-479260151682.7146,884479.0
168,-55610786119.89957,-479260572166.61426,884479.0
169,-55607758826.048935,-479260992613.7951,884479.0
170,-55604731532.199104,-479261413024.25916,884479.0
171,-55601704238.350006,-479261833398.00854,884479.0
172,-55598676944.501724,-479262253735.04504,884479.0
173,-55595649650.654236,-479262674035.371,884479.0
174,-55592622356.80757,-479263094298.98816,884479.0
175,-55589595062.96161,-479263514525.89886,884479.0
176,-55586567769.116455,-479263934716.105,884479.0
177,-55583540475.27215,-479264354869.6086,884479.0
178,-55580513181.42857,-479264774986.4116,884479.0
179,-55577485887.585815,-479265195066.5163,884479.0
180,-55574458593.74383,-479265615109.92444,884479.0
181,-55571431299.90261,-479266035116.63837,884479.0
182,-55568404006.06218,-479266455086.6599,884479.0
183,-55565376712.22259,-479266875019.99115,884479.0
184,-55562349418.383736,-479267294916.6342,884479.0
185,-55559322124.54569,-479267714776.591,884479.0
186,-55556294830.70845,-479268134599.8636,884479.0
187,-55553267536.87198,-479268554386.454,884479.0
188,-55550240243.036285,-479268974136.3644,884479.0
189,-55547212949.2014,-479269393849.5967,884479.0
190,-55544185655.36728,-479269813526.1531,884479.0
191,-55541158361.53396,-479270233166.0353,884479.0
192,-55538131067.701416,-479270652769.2457,884479.0
193,-55535103773.86965,-479271072335.78613,884479.0
194,-55532076480.0387,-479271491865.65857,884479.0
195,-55529049186.20853,-479271911358.86536,884479.0
196,-55526021892.379135,-479272330815.40826,884479.0
197,-55522994598.550575,-479272750235.2894,884479.0
198,-55519967304.722755,-479273169618.51086,884479.0
