反復回数,∂J/∂θ,∂J/∂s,目的関数J
164,-191985108.67041102,-1962382666.872748,770611.5
165,-190905952.8236457,-1999530486.1658516,767762.5
166,-205390826.18423647,-1969948701.076381,762122.5
167,-207613215.9707582,-1983144772.582076,759044.0
168,-204388032.96822807,-1981712204.4272544,759100.5
169,-196066672.13488173,-2004759380.7383084,754978.5
170,-191406253.66271585,-1981390309.2873642,750558.0
171,-208709999.93769008,-1959014086.400033,747528.5
172,-206913586.28662592,-1958571917.539192,747666.5
173,-209585871.253995,-1919691364.562737,749740.5
174,-234843435.12901855,-1900541106.5549831,748827.5
175,-238575575.35889673,-1908454925.1397462,745966.0
176,-223647613.3256314,-1884996513.288278,742746.0
177,-225115738.43188736,-1876963920.3453681,742742.5
178,-217519929.89050782,-1879670131.6863484,742302.5
179,-225670244.4153913,-1866515418.7018604,737336.5
180,-236225465.8155583,-1857792134.6286676,735467.0
181,-220534801.41601896,-1837120484.7785826,731804.0
182,-199385967.26063073,-1827197835.9241815,728810.0
183,-192137265.41610962,-1825218199.8653092,726248.5
184,-177704621.25563905,-1840381038.1606705,724051.0
185,-189983417.9126708,-1823126270.7924294,724113.0
186,-174210546.15161416,-1834312904.0187433,721115.5
187,-178218310.86800978,-1834509389.4408014,722092.0
188,-175759665.27162766,-1836106520.2275827,718528.0
189,-180005950.7317496,-1789767139.0343957,715932.0
190,-177877354.97439346,-1776000287.7106898,712724.0
191,-168471091.58311087,-1786072404.980536,710532.0
192,-154317684.79535937,-1778382848.073809,709782.5
193,-153520399.2481678,-1775263436.3103795,701768.0
194,-167965793.9531118,-1770103923.7964408,699712.5
195,-164236560.4460352,-1752797862.6494036,698851.5
196,-166138720.1643806,-1752250785.569191,697027.5
197,-190045581.80658135,-1724641089.8283553,695285.5
198,-172213115.69746062,-1730348979.2220244,694372.5
199,-201610784.6568244,-1699426912.1475177,693591.0
200,-201128848.91209036,-1709234344.3251014,692688.5
201,-175127626.6906597,-1745317019.7461665,689033.5
202,-155817888.17141962,-1791563942.6091895,684264.0
203,-157054067.9792404,-1792081550.970495,680891.0
204,-154156050.8135868,-1804967419.811362,675770.0
205,-145761351.8571959,-1821200610.1330647,672287.0
206,-168949616.73063347,-1819996323.1070118,668448.5
207,-158476721.4883046,-1833458996.9304025,664788.5
208,-151801378.77268708,-1841768985.884613,664300.0
209,-144638468.0707907,-1836699257.2520468,656971.5
210,-129496757.9212277,-1863017253.5584052,655009.0
211,-107073028.78155014,-1860514345.8082397,647999.0
212,-120445497.64241937,-1852198999.3462083,643783.5
213,-167406704.8479131,-1817024330.0261564,636789.5
214,-206116026.91890785,-1759784956.0122275,635872.5
215,-202944807.3399863,-1775332487.256203,631133.0
216,-187929145.4545391,-1849229149.4647295,623379.5
217,-181499683.6189874,-1850862930.5790641,616300.0
218,-185017418.47716546,-1845027355.5925376,610768.0
219,-137090421.35912567,-1910340703.0413513,605191.5
220,-135832236.57151562,-1921380215.389558,603162.0
221,-160494373.01857078,-1915720471.6446545,596248.5
222,-155639279.72064805,-1905595604.0354903,591039.5
223,-121700186.31796809,-1941021054.093111,584727.0
224,-119417400.57677639,-1995740146.080378,582280.0
225,-110074875.51153043,-2002514195.9569676,578706.0
226,-117365151.77075997,-2011324870.8568513,573428.0
227,-90977347.06959939,-2066767938.1408076,569814.5
228,-102655449.42001918,-2063931261.5955546,563679.0
229,-131198247.55973011,-2092342330.2138066,557390.5
230,-111497731.18137518,-2091811825.541691,552893.5
231,-112980548.69927604,-2123508558.6747875,542746.0
232,-126690629.17259553,-2138335012.155012,535563.0
233,-145793001.54249907,-2132905422.740203,528449.5
234,-163600309.42052904,-2141798747.1599388,519892.5
235,-198423167.03564987,-2190343061.493556,513576.0
236,-260683815.454677,-2229194982.734337,506488.5
237,-273351366.5165037,-2283934459.5297585,494106.0
238,-259841561.7316631,-2332930278.2348824,486333.5
239,-309094203.08255756,-2287353375.9445763,474119.0
240,-337766767.13196063,-2260748415.716879,460232.0
241,-374532730.411115,-2255650628.0800686,446658.0
242,-437869918.57165277,-2283989230.6525574,433370.0
243,-491882033.87314606,-2232515083.398074,421671.0
244,-543365222.4034044,-2189884819.448956,404224.0
245,-648644206.4454588,-2132168009.5913382,391166.5
246,-670166770.7628882,-2043517193.7514997,376052.0
247,-780551812.6865362,-1894537359.2498622,359806.0
248,-901921004.858135,-1689392531.8507109,343290.5
249,-988800309.1855983,-1467362482.574779,326558.5
250,-1155000422.1769218,-1209130044.3428316,313524.0
251,-1200133390.3399637,-1000035549.542197,300154.0
252,-1183148509.3257875,-826376758.2165132,287640.5
253,-1133574576.4824786,-602339228.2750558,279946.0
254,-1102222829.4651325,-309041349.7221173,276636.0
255,-1075501381.856821,-45822492.18939786,273976.5
256,-966484811.9590242,80861133.45082459,275349.0
257,-887864675.7261329,206336295.70400864,276654.5
258,-798911596.0844109,276196921.2793302,276887.0
259,-745133303.5824437,384743809.1465608,277561.0
260,-719355230.0771322,429105172.85463953,278290.5
261,-696428268.2803077,483766926.202733,278573.5
262,-680441452.6832461,514193646.9437703,277848.0
263,-667615289.410748,562571539.5162513,277138.0
264,-614687561.3673007,571125044.7634289,275905.0
265,-590767968.480646,559790236.4580556,273860.5
266,-579943225.2327479,579037423.8447618,272338.0
267,-565294000.1241981,597527467.0171595,270758.5
268,-532033565.11311424,595876801.4451671,269080.5
269,-516119099.2543572,587917192.6144862,266499.5
270,-512719344.4782138,604647524.1539571,263263.0
