反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
120,9.319332428246998,1.1852345616369182,841284.5,1849955995.5260015,-262958197.35738313,-1831171802.9243336
121,9.426231533376056,1.1869660846538481,840341.0,1853630918.2188647,-256316428.63753265,-1835823921.128443
122,9.533695409812362,1.18871015585484,839679.5,1859187823.2582788,-251873694.0912766,-1842047503.2899318
123,9.640176484391109,1.190460906225328,838953.0,1860999770.8149548,-248072790.6555922,-1844391508.7393079
124,9.746382472581736,1.1922089120214197,837629.5,1854079403.5095525,-241343629.47223997,-1838304568.6260762
125,9.855523492073775,1.193941251398301,841658.5,1823585133.892196,-261909620.1615737,-1804678944.1392167
126,9.964024473449411,1.195676951459507,840169.5,1822832759.643475,-255459055.623931,-1804843467.0433822
127,10.074222891827805,1.1974072259416662,839329.5,1799330903.2772532,-261393072.28274113,-1780243062.4078066
128,10.185627569971237,1.1991535435773828,838986.0,1811191982.9709759,-260252575.00213045,-1792396439.5141764
129,10.295757638283433,1.2008959405025397,837256.0,1802614266.4066548,-251335559.29566115,-1785006619.0595315
130,10.407193157805823,1.2026675776399547,838214.0,1825912403.2891357,-243462021.5995472,-1809608341.1953452
131,10.516687392741911,1.2044410020222849,835190.0,1829634199.019129,-236437482.288055,-1814292870.291248
132,10.627625379540032,1.206213623277817,830690.5,1820377273.5162446,-246812360.65118557,-1803567874.121799
133,10.739274968270651,1.2079952991422704,828794.0,1822036548.2557688,-247705152.7602687,-1805120311.9115934
134,10.852109007139944,1.2097922444970677,830416.5,1830109139.1635141,-246302803.79510117,-1813459233.0936174
135,10.968985819203608,1.2116074840264852,830465.0,1832590422.131635,-264380357.2722414,-1813419610.0123122
136,11.088238076982588,1.2134453570835728,826637.5,1847506284.4732263,-273557970.3754616,-1827141348.6679468
137,11.208874892397297,1.2153114159879073,824007.5,1873294472.4314,-269542871.5495635,-1853801181.583088
138,11.329243401393379,1.2171797163828926,822580.5,1867361389.9041746,-262883497.1154087,-1848764676.0605373
139,11.447453380463338,1.2190385444229406,822910.5,1860161942.4657106,-262634010.12435752,-1841528123.3051548
140,11.567840078636078,1.2209432224731005,820702.0,1893602010.5147743,-258090310.1923291,-1875931226.3541067
141,11.686329871930912,1.222860118463632,818345.5,1912886134.0616398,-246130494.85878003,-1896985277.06091
142,11.80643192246319,1.224785857089509,814261.0,1911410966.4633641,-256499509.5527348,-1894122457.5817738
143,11.92784592842399,1.2267369873862668,814033.5,1929265310.4746852,-253944140.10830238,-1912479284.0461404
144,12.05120955342894,1.228708816766936,813646.5,1940205171.0475233,-262942919.70579022,-1922305159.6289659
145,12.175681301055802,1.2306979216015637,811109.5,1947951454.3201375,-254975834.92743337,-1931191909.6741776
146,12.299690038046123,1.232720021220141,809358.0,1978409634.464609,-242960634.74565136,-1963434442.9357395
147,12.421426985444556,1.234754460541731,806624.0,1997531522.6464038,-220387019.64488834,-1985336683.1694074
148,12.544146010240341,1.2368027292041215,805312.0,2000975950.150795,-222777759.64204326,-1988535849.0333407
149,12.670412604645717,1.238862567064119,804698.0,1985889026.2030776,-234619153.16112587,-1971981003.2968786
150,12.794449316998687,1.2409131627253973,805158.0,1980343798.9730523,-223246454.56998226,-1967720148.459367
151,12.920441068106404,1.2429942367366653,804369.0,1995563145.7915075,-225998586.68396378,-1982724617.201831
152,13.04439781588817,1.2450909222804922,799093.5,2009398944.5165715,-203891821.78723782,-1999027824.5268605
153,13.169274879575571,1.24719365018057,798429.5,2002441750.3091254,-207898620.04519284,-1991620226.6407063
154,13.295707535876828,1.2492695952895014,797154.5,1955252679.8580024,-223296784.93054807,-1942460189.5358322
155,13.42372750722131,1.251368457662083,796082.5,1967993550.6065452,-222178774.59513503,-1955411774.3709023
156,13.551509399066516,1.2534786634769792,795938.5,1972514548.0208492,-211227599.72261053,-1961172237.0228782
157,13.677943796704566,1.2555844785915948,793314.5,1964093004.7021036,-210223514.86148265,-1952810130.2786765
158,13.807290661025375,1.2577153993231527,792655.0,1970107239.3334017,-220109728.07621995,-1957772775.9063587
159,13.937423887680945,1.2598588829950201,792217.0,1972821422.7405698,-219091194.31513083,-1960618120.5420132
160,14.06712408270973,1.2620223327370421,790730.0,1989439220.9401155,-210151435.28853506,-1978308567.4537685
161,14.200240814072913,1.2641970028441651,784930.5,1970367386.7870634,-218452885.5821743,-1958220103.9962037
162,14.332016473573123,1.2663714776803645,780657.0,1970973768.7992327,-209203411.53038093,-1959839669.4369416
163,14.463146471478273,1.2685545440869295,771717.0,1966384950.501011,-206160488.30517823,-1955547909.5687308
164,14.592227981443157,1.2707394161085288,770611.5,1971751508.9873238,-191985108.67041102,-1962382666.872748
165,14.722369017942146,1.2729629682887575,767762.5,2008623221.993152,-190905952.8236457,-1999530486.1658516
166,14.854882043443888,1.2751806818946343,762122.5,1980626990.7161126,-205390826.18423647,-1969948701.076381
167,14.988632411465767,1.277418249184833,759044.0,1993982556.7103977,-207613215.9707582,-1983144772.582076
168,15.12307380349765,1.2796703565781602,759100.5,1992224316.98756,-204388032.96822807,-1981712204.4272544
169,15.258104192234844,1.2819526153297789,754978.5,2014324282.3786573,-196066672.13488173,-2004759380.7383084
170,15.39139836444334,1.284219291504314,750558.0,1990613953.4523194,-191406253.66271585,-1981390309.2873642
171,15.527468925544618,1.286488962880244,747528.5,1970100518.9552503,-208709999.93769008,-1959014086.400033
172,15.662795718573822,1.2887581024655113,747666.5,1969471296.658862,-206913586.28662592,-1958571917.539192
173,15.79886502400788,1.2910085751202192,749740.5,1931098436.7986112,-209585871.253995,-1919691364.562737
174,15.939595707976148,1.293282899272922,748827.5,1914995544.8325298,-234843435.12901855,-1900541106.5549831
175,16.08106115978324,1.2955791946512076,745966.0,1923309259.1801202,-238575575.35889673,-1908454925.1397462
176,16.21946645774812,1.2978504557574095,742746.0,1898217613.9882426,-223647613.3256314,-1884996513.288278
177,16.3587287652841,1.3001296911390865,742742.5,1890415471.257043,-225115738.43188736,-1876963920.3453681
178,16.496839136618732,1.3024041955297376,742302.5,1892214238.3602724,-217519929.89050782,-1879670131.6863484
179,16.635870105104132,1.304679986624268,737336.5,1880108206.3185308,-225670244.4153913,-1866515418.7018604
180,16.775980222851622,1.3069596401280876,735467.0,1872750406.8049002,-236225465.8155583,-1857792134.6286676
181,16.912727776158764,1.3092143378969017,731804.0,1850310048.1348248,-220534801.41601896,-1837120484.7785826
182,17.046368566019567,1.311451935972439,728810.0,1838044258.3209114,-199385967.26063073,-1827197835.9241815
183,17.179725582143057,1.3136982802655832,726248.5,1835303300.787404,-192137265.41610962,-1825218199.8653092
184,17.311768210864955,1.3159511149355685,724051.0,1848940588.0224917,-177704621.25563905,-1840381038.1606705
185,17.446679300693887,1.3182185776053168,724113.0,1832998390.1616747,-189983417.9126708,-1823126270.7924294
186,17.57975969702642,1.3204879105082739,721115.5,1842566998.5756607,-174210546.15161416,-1834312904.0187433
187,17.714105642265416,1.3227756269770645,722092.0,1843145807.1121526,-178218310.86800978,-1834509389.4408014
188,17.84796969699591,1.325070567938803,718528.0,1844499556.3996856,-175759665.27162766,-1836106520.2275827
189,17.980490843159565,1.3273300846686167,715932.0,1798796418.2380972,-180005950.7317496,-1789767139.0343957
190,18.11126904750484,1.329575656829419,712724.0,1784885815.7767794,-177877354.97439346,-1776000287.7106898
191,18.243071364252128,1.3318462035538363,710532.0,1794000318.9888682,-168471091.58311087,-1786072404.980536
192,18.370753130932233,1.3340960024244608,709782.5,1785065685.672018,-154317684.79535937,-1778382848.073809
193,18.50034160818234,1.3363604765478627,701768.0,1781889104.6543424,-153520399.2481678,-1775263436.3103795
194,18.633204846129214,1.338658019263923,699712.5,1778055232.263007,-167965793.9531118,-1770103923.7964408
195,18.764652934504657,1.3409441183887347,698851.5,1760475502.5547676,-164236560.4460352,-1752797862.6494036
196,18.89624416445984,1.3432418898709382,697027.5,1760109340.3154547,-166138720.1643806,-1752250785.569191
197,19.031563753320075,1.3455595733756525,695285.5,1735080462.655418,-190045581.80658135,-1724641089.8283553
198,19.16340267278671,1.347868966862814,694372.5,1738897624.103538,-172213115.69746062,-1730348979.2220244
199,19.299942468469883,1.350204556957104,693591.0,1711344132.0263984,-201610784.6568244,-1699426912.1475177
