反復回数,∂J/∂θ,∂J/∂s,目的関数J
114,-749103293.1213405,-1565689941.8796647,850054.0
115,-726751374.2497488,-1591409017.7676568,851363.5
116,-750480201.1507318,-1609092262.9415114,851071.5
117,-754526421.4982219,-1606067387.830802,853293.5
118,-745690081.9436777,-1596215923.056071,854059.0
119,-758591020.4775351,-1598164475.733961,852581.5
120,-750200759.9374639,-1601972909.014725,850012.5
121,-755597345.3696697,-1613741409.3263326,850025.0
122,-747928961.7984626,-1613781229.2342458,848889.5
123,-734270905.4525404,-1629401286.9889164,847927.5
124,-756403868.5724539,-1618303005.3319488,847064.0
125,-763986303.2125871,-1605049314.194117,843968.5
126,-765271781.7098095,-1605446094.2329884,841165.5
127,-775715030.5109482,-1597559432.9695995,843696.0
128,-764868633.4980505,-1602109660.6322405,841980.5
129,-747547777.3836308,-1616406442.978639,841975.0
130,-755969765.9605582,-1641135595.8425443,841287.0
131,-747296430.7032233,-1631889108.714325,838687.0
132,-761084932.2916747,-1631959388.954192,836963.5
133,-739730063.7892497,-1629081192.6477797,835852.0
134,-734358812.0800079,-1620301463.2745292,835420.0
135,-731025445.5524423,-1641283687.3575456,835382.0
136,-732188212.6116037,-1622988656.3335347,835653.0
137,-739135097.810715,-1599990034.1155524,837640.0
138,-740291405.5014935,-1580863376.2532744,835518.5
139,-738248467.6218793,-1594434185.0227275,834906.0
140,-733130978.8530297,-1604112779.4566355,831574.5
141,-740031330.7241349,-1597264686.396775,827188.0
142,-731629294.9778905,-1587312362.8432312,830308.0
143,-726687458.1918708,-1587740678.8367221,829642.5
144,-737165228.939223,-1584384013.444554,826774.5
145,-738775093.8933002,-1585003343.0912533,827218.5
146,-731851624.3194976,-1579709839.7613401,825072.5
147,-727447401.8514862,-1570543781.7014225,822386.5
148,-732798834.6591622,-1565532584.3583195,823782.5
149,-721941343.2904766,-1568428041.1592126,823973.0
150,-729033528.5582664,-1576760048.1633186,823093.0
151,-727132112.8843569,-1600672134.4827404,820654.5
152,-735663309.253665,-1589802091.315336,818215.0
153,-729709902.3114847,-1557413946.8884113,815831.0
154,-730904576.1944244,-1559545126.0210652,814126.5
155,-751421670.5848875,-1567183238.0966086,816680.0
156,-750366949.4108349,-1575718023.579503,813687.0
157,-749978670.7294064,-1592682816.0838208,815687.0
158,-742916536.4745871,-1595394341.017158,816964.0
159,-733165262.7591119,-1602176608.9905608,815641.0
160,-745679560.8617885,-1608690758.3436766,812967.5
161,-743937217.6728768,-1603320851.6212738,813353.0
162,-738728255.0921587,-1613219895.5219622,812669.5
163,-731137122.0457027,-1613017616.7299428,811353.5
164,-697156496.2986538,-1610394877.0357337,809376.5
165,-684101206.2062049,-1603923981.2993944,808703.5
166,-702879683.7685854,-1593738108.019234,803602.0
167,-709574947.1450171,-1572771062.9930859,803086.5
